protein,sample,abundance,intervention,fiber_type
MYH14,s_72,0.1715103881047039,terbutaline,II
MYH14,s_69,0.09967758483978055,terbutaline,I
MYH2,s_55,1.3085646361610388,terbutaline,I
MYH2,s_60,82.43720490599995,terbutaline,II
MYH2,s_44,86.15719744648584,terbutaline,II
MYH2,s_45,4.4367504981696495,terbutaline,I
MYH2,s_30,88.52786143317452,resistance,II
MYH2,s_59,0.5943405331725581,terbutaline,I
MYH2,s_24,68.79315122018457,resistance,II
MYH2,s_92,85.62604202579688,terbutaline,II
MYH2,s_61,0.41906073051078097,terbutaline,I
MYH2,s_43,0.5758184623660951,terbutaline,I
MYH2,s_10,62.241713388349964,resistance,II
MYH2,s_23,1.1139705899580874,resistance,I
MYH2,s_22,56.80994221019498,resistance,II
MYH2,s_58,78.69101131651938,terbutaline,II
MYH2,s_56,67.62136109987983,terbutaline,II
MYH2,s_11,0.8426186091569605,resistance,I
MYH2,s_32,80.58682333779859,resistance,II
MYH2,s_31,0.678473679911695,resistance,I
MYH2,s_29,1.3970349735690826,resistance,I
MYH2,s_37,5.1460405589620795,resistance,I
MYH2,s_90,75.54665180902785,terbutaline,II
MYH2,s_91,1.4470743079295143,terbutaline,I
MYH2,s_12,72.69513161487257,resistance,II
MYH2,s_28,53.00442410817229,resistance,II
MYH2,s_21,1.2601006514907926,resistance,I
MYH2,s_65,0.40954794849269277,terbutaline,I
MYH2,s_68,56.93707274164454,terbutaline,II
MYH2,s_57,0.4924761018936405,terbutaline,I
MYH2,s_36,69.59290150460696,resistance,II
MYH2,s_54,79.98346788281998,terbutaline,II
MYH2,s_69,1.9838714851818053,terbutaline,I
MYH2,s_42,74.9120241178458,terbutaline,II
MYH2,s_89,0.7034757276231656,terbutaline,I
MYH2,s_27,5.254142976582655,resistance,I
MYH2,s_33,0.6566647788355681,resistance,I
MYH2,s_87,1.5945416647548023,terbutaline,I
MYH2,s_20,55.57632847178523,resistance,II
MYH2,s_19,0.898303514446883,resistance,I
MYH2,s_48,77.97355903724561,terbutaline,II
MYH2,s_53,0.3811354643646269,terbutaline,I
MYH2,s_67,1.7813461812831222,terbutaline,I
MYH2,s_26,58.693075252014225,resistance,II
MYH2,s_75,0.9422113796677685,terbutaline,I
MYH2,s_38,85.84424730921847,resistance,II
MYH2,s_25,1.3108418493431033,resistance,I
MYH2,s_83,0.6572637915361889,terbutaline,I
MYH2,s_85,3.21086484092473,terbutaline,I
MYH2,s_86,81.65773461998072,terbutaline,II
MYH2,s_82,81.34743023420931,terbutaline,II
MYH2,s_51,2.730781425447341,terbutaline,I
MYH2,s_47,8.53002980371928,terbutaline,I
MYH2,s_64,87.938355760238,terbutaline,II
MYH2,s_66,78.01027378919933,terbutaline,II
MYH2,s_39,0.7789340249795622,resistance,I
MYH2,s_88,60.808503747279595,terbutaline,II
MYH2,s_74,58.61496155340738,terbutaline,II
MYH2,s_72,81.29208750712728,terbutaline,II
MYH2,s_18,86.93286577418496,resistance,II
MYH2,s_49,0.46678402773068794,terbutaline,I
MYH2,s_71,2.652900714762533,terbutaline,I
MYH2,s_16,50.92142258917933,resistance,II
MYH2,s_81,0.6251177274480108,terbutaline,I
MYH2,s_76,72.5487493494838,terbutaline,II
MYH2,s_14,82.1193205534269,resistance,II
MYH2,s_84,84.75729813037674,terbutaline,II
MYH2,s_73,2.761550069279773,terbutaline,I
MYH2,s_80,73.72759581090241,terbutaline,II
MYH2,s_70,75.39925159862206,terbutaline,II
MYH2,s_34,82.68797811678414,resistance,II
MYH2,s_41,0.7735713208881003,terbutaline,I
MYH2,s_78,79.32220966677296,terbutaline,II
MYH2,s_17,0.8832223659662668,resistance,I
MYH2,s_40,55.0567237834311,resistance,II
MYH2,s_77,0.3605821910282966,terbutaline,I
MYH2,s_79,0.9086327492639575,terbutaline,I
MYH2,s_35,0.5283460146236232,resistance,I
MYH2,s_63,0.4891619683289109,terbutaline,I
MYH2,s_9,0.39549883340387554,resistance,I
MYH2,s_46,86.13287839882608,terbutaline,II
MYH2,s_62,84.81601956081225,terbutaline,II
MYH3,s_62,0.7393003011019097,terbutaline,II
MYH3,s_63,28.876669207303472,terbutaline,I
MYH3,s_53,30.392762962862918,terbutaline,I
MYH3,s_16,11.877036405956233,resistance,II
MYH3,s_64,0.7368392489483132,terbutaline,II
MYH3,s_9,24.54228914625679,resistance,I
MYH3,s_51,34.434000222464626,terbutaline,I
MYH3,s_49,28.796142274534237,terbutaline,I
MYH3,s_18,1.190118197113529,resistance,II
MYH3,s_60,0.5497071481749732,terbutaline,II
MYH3,s_75,32.01076615204743,terbutaline,I
MYH3,s_61,27.41630159142398,terbutaline,I
MYH3,s_77,26.971423377240388,terbutaline,I
MYH3,s_59,29.54600194520744,terbutaline,I
MYH3,s_17,16.755829554891502,resistance,I
MYH3,s_19,24.8610783148073,resistance,I
MYH3,s_66,0.9633185615319277,terbutaline,II
MYH3,s_20,8.025798483542857,resistance,II
MYH3,s_10,1.3368262375884126,resistance,II
MYH3,s_11,18.993194855474172,resistance,I
MYH3,s_79,38.10205360295797,terbutaline,I
MYH3,s_14,2.472904876298938,resistance,II
MYH3,s_78,0.9016788602700123,terbutaline,II
MYH3,s_55,28.943899893371604,terbutaline,I
MYH3,s_83,23.049888718882787,terbutaline,I
MYH3,s_82,1.2814674181624985,terbutaline,II
MYH3,s_31,33.90195984528721,resistance,I
MYH3,s_67,24.75693111283168,terbutaline,I
MYH3,s_68,4.259166144658889,terbutaline,II
MYH3,s_76,1.2513582246837995,terbutaline,II
MYH3,s_74,1.151886846873253,terbutaline,II
MYH3,s_57,28.84548060705057,terbutaline,I
MYH3,s_24,3.601960383895724,resistance,II
MYH3,s_58,1.426942431631244,terbutaline,II
MYH3,s_26,0.312962641644014,resistance,II
MYH3,s_27,21.85287317686793,resistance,I
MYH3,s_65,32.38549549868231,terbutaline,I
MYH3,s_80,2.9144593790179742,terbutaline,II
MYH3,s_81,25.21477624195443,terbutaline,I
MYH3,s_92,1.1944113919366843,terbutaline,II
MYH3,s_32,1.2136583617276018,resistance,II
MYH3,s_34,0.7612941880767203,resistance,II
MYH3,s_73,24.687753625737482,terbutaline,I
MYH3,s_12,2.2725614997732397,resistance,II
MYH3,s_25,22.705710859986787,resistance,I
MYH3,s_84,1.604339570820609,terbutaline,II
MYH3,s_38,0.824893802834975,resistance,II
MYH3,s_85,21.962931744322148,terbutaline,I
MYH3,s_86,1.4310825348620917,terbutaline,II
MYH3,s_28,1.6040966113912616,resistance,II
MYH3,s_90,2.882526026641464,terbutaline,II
MYH3,s_91,17.512306631423964,terbutaline,I
MYH3,s_30,0.7353874029639407,resistance,II
MYH3,s_48,2.6263400510585084,terbutaline,II
MYH3,s_23,28.44609359526251,resistance,I
MYH3,s_54,0.6879118481759677,terbutaline,II
MYH3,s_72,1.241471502107267,terbutaline,II
MYH3,s_56,0.644156986357551,terbutaline,II
MYH3,s_87,27.07242359210742,terbutaline,I
MYH3,s_89,26.44610436986346,terbutaline,I
MYH3,s_37,19.74415103974818,resistance,I
MYH3,s_47,28.131666830773305,terbutaline,I
MYH3,s_71,27.87640005182445,terbutaline,I
MYH3,s_36,3.140015602370928,resistance,II
MYH3,s_29,21.491912727412668,resistance,I
MYH3,s_69,29.75845546105877,terbutaline,I
MYH3,s_45,22.660416708837513,terbutaline,I
MYH3,s_39,26.469533298124777,resistance,I
MYH3,s_21,17.817936641914457,resistance,I
MYH3,s_46,1.0471432635441897,terbutaline,II
MYH3,s_35,29.24595217015297,resistance,I
MYH3,s_70,1.9638413526743077,terbutaline,II
MYH3,s_88,3.9874001170618847,terbutaline,II
MYH3,s_33,23.480644374074444,resistance,I
MYH3,s_44,0.6150706672444256,terbutaline,II
MYH3,s_43,30.78004821043067,terbutaline,I
MYH3,s_22,2.1292656432547705,resistance,II
MYH3,s_41,25.5957048938536,terbutaline,I
MYH3,s_42,0.9491488581285887,terbutaline,II
MYH3,s_40,2.0760505774179463,resistance,II
MYH4,s_49,16.471962036302195,terbutaline,I
MYH4,s_24,3.818989592148571,resistance,II
MYH4,s_92,1.9413752352352494,terbutaline,II
MYH4,s_22,22.606351772995772,resistance,II
MYH4,s_20,8.010758452248625,resistance,II
MYH4,s_23,6.228734089680739,resistance,I
MYH4,s_58,3.580798714311956,terbutaline,II
MYH4,s_90,3.9458038727269296,terbutaline,II
MYH4,s_26,24.891490201665455,resistance,II
MYH4,s_30,0.5478165584749218,resistance,II
MYH4,s_59,13.86991576077436,terbutaline,I
MYH4,s_47,7.059638531690808,terbutaline,I
MYH4,s_21,7.953312318792466,resistance,I
MYH4,s_69,15.034252758426597,terbutaline,I
MYH4,s_91,5.603369196549033,terbutaline,I
MYH4,s_18,0.46228806773528475,resistance,II
MYH4,s_32,7.351621153260501,resistance,II
MYH4,s_31,12.314012041283824,resistance,I
MYH4,s_17,10.59021332432894,resistance,I
MYH4,s_10,17.419151047986123,resistance,II
MYH4,s_36,13.06219634724754,resistance,II
MYH4,s_57,15.850314481881062,terbutaline,I
MYH4,s_33,15.51618281648218,resistance,I
MYH4,s_19,10.619629480005646,resistance,I
MYH4,s_56,1.265102021143186,terbutaline,II
MYH4,s_35,15.234983050833003,resistance,I
MYH4,s_46,1.8011314089103516,terbutaline,II
MYH4,s_89,16.31404948702984,terbutaline,I
MYH4,s_70,3.7819665384284606,terbutaline,II
MYH4,s_11,7.252436182773854,resistance,I
MYH4,s_29,5.147276189063292,resistance,I
MYH4,s_62,0.3930235485186927,terbutaline,II
MYH4,s_16,5.376057815961161,resistance,II
MYH4,s_55,8.3539575983978,terbutaline,I
MYH4,s_77,14.914200750268403,terbutaline,I
MYH4,s_64,0.45169709339290515,terbutaline,II
MYH4,s_25,7.581072439582087,resistance,I
MYH4,s_48,4.379886121670855,terbutaline,II
MYH4,s_87,10.411976146215718,terbutaline,I
MYH4,s_68,7.577622733394675,terbutaline,II
MYH4,s_44,0.2623696705991962,terbutaline,II
MYH4,s_45,18.49621444258009,terbutaline,I
MYH4,s_51,4.55145320770536,terbutaline,I
MYH4,s_12,8.531252846539543,resistance,II
MYH4,s_54,2.1723972966471825,terbutaline,II
MYH4,s_63,15.722054775850447,terbutaline,I
MYH4,s_37,9.191106152882446,resistance,I
MYH4,s_66,5.559483961916112,terbutaline,II
MYH4,s_38,NA,resistance,II
MYH4,s_65,13.625690073125252,terbutaline,I
MYH4,s_9,6.10025693401228,resistance,I
MYH4,s_72,1.7215287668856147,terbutaline,II
MYH4,s_88,6.590684725863086,terbutaline,II
MYH4,s_85,18.746249771849413,terbutaline,I
MYH4,s_86,2.716853816712391,terbutaline,II
MYH4,s_74,9.226948052879163,terbutaline,II
MYH4,s_53,15.227099660722878,terbutaline,I
MYH4,s_28,27.892765783996946,resistance,II
MYH4,s_14,1.7897400652213495,resistance,II
MYH4,s_34,1.3648153410169157,resistance,II
MYH4,s_42,0.3445139824801522,terbutaline,II
MYH4,s_75,7.053855118961841,terbutaline,I
MYH4,s_39,14.707722607294297,resistance,I
MYH4,s_81,5.5414787887461205,terbutaline,I
MYH4,s_83,19.216399070472868,terbutaline,I
MYH4,s_67,15.063470578839494,terbutaline,I
